Name,Origin_Season,Origin_League,team,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,PL_Team,PL_Raw_GA,PL_Team_Avg_GA,Target_Relative_GA,Season_Control
Emerson,2021,ESP-La Liga,Real Betis,0.15010006671114076,0.041966447963927934,0.09562597994949219,Tottenham,0.15579919215233698,0.2896913911398481,-0.13389219898751112,2020
Emil Krafth,1819,FRA-Ligue 1,Amiens,0.0605245460659045,0.020491102414121744,0.09173363470989102,Newcastle United,0.087890625,0.18125747372395998,-0.09336684872395998,2018
Emiliano Buendía,1516,ESP-La Liga,Getafe,0.12328767123287672,0.12827258699969074,0.030912658225183617,Norwich,0.2924451665312754,0.1360348364343038,0.15641033009697158,2015
Emmanuel Dennis,2021,GER-Bundesliga,FC Cologne,0.19027484143763213,0.09433398287089632,0.14336553132496224,Nottingham Forest,0.5106382978723405,0.1575310916628282,0.3531072062095123,2020
Enes Ünal,2223,ESP-La Liga,Getafe,0.5077995353468304,0.21353051237331708,0.10023802881729671,Bournemouth,1.2720848056537102,0.26250972258231786,1.0095750830713923,2022
Eric Bailly,1516,ESP-La Liga,Villarreal,0.0,0.009988966416760345,0.025558611731508085,Manchester United,0.0,0.2630526412946497,-0.2630526412946497,2015
Eric Maxim Choupo-Moting,1617,GER-Bundesliga,Schalke 04,0.3730017761989343,0.23869809246296148,0.19325821625720546,Stoke,0.39875941515285773,0.17546102464124771,0.22329839051161002,2016
Erik Durm,1617,GER-Bundesliga,Borussia Dortmund,0.18480492813141683,0.06567493908191424,0.16800576857304547,Huddersfield,0.043923865300146414,0.08613050721298693,-0.042206641912840515,2016
Erik Pieters,1819,FRA-Ligue 1,Amiens,0.14274385408406026,0.06924276670011191,0.04204650852654918,Burnley,0.19148936170212766,0.23211069264778125,-0.040621330945653594,2018
Erling Haaland,2021,GER-Bundesliga,Borussia Dortmund,1.2293046357615893,0.7661685391039347,0.1503271031014572,Manchester City,1.4127720299678914,0.42159503454737085,0.9911769954205205,2020
Estupiñán,2021,ESP-La Liga,Villarreal,0.0,0.037297990321725316,0.14190188227811018,Brighton,0.19948282231252307,0.30977930755213606,-0.110296485239613,2020
Ezequiel Schelotto,1415,ITA-Serie A,Chievo,0.0,0.1069151654609301,0.08000271509956108,Brighton,0.0,0.19615613235585494,-0.19615613235585494,2014
Fabian Schär,1718,ESP-La Liga,Deportivo La Coruna,0.16208914903196758,0.13002927288017205,0.029636939592535355,Newcastle United,0.22421524663677128,0.21649586450060962,0.007719382136161662,2017
Fabinho,1718,FRA-Ligue 1,Monaco,0.29411764705882354,0.06265612565638388,0.12507361957036398,Liverpool,0.1345962113659023,0.40823791930350806,-0.2736417079376058,2017
Fabri,1415,ESP-La Liga,Deportivo La Coruna,0.0,0.0,0.0005564096594049064,Fulham,0.0,0.1501273009276872,-0.1501273009276872,2014
Facundo Pellistri,2021,ESP-La Liga,Alaves,0.0,0.07109425323649068,0.00630787061004155,Manchester United,0.0,0.25831771321462044,-0.25831771321462044,2020
Felipe,2021,ESP-La Liga,Atletico Madrid,0.0,0.05676252194741635,0.01862178033689585,Nottingham Forest,0.06306937631394534,0.1575310916628282,-0.09446171534888285,2020
Felipe Anderson,1718,ITA-Serie A,Lazio,0.8691834942932397,0.2173976382670746,0.3466744292805444,West Ham,0.38073543768304585,0.2535646796083147,0.12717075807473116,2017
Fernando,1516,ITA-Serie A,Sampdoria,0.18066242890598863,0.08610490012531319,0.11138701057401179,Manchester City,0.0,0.3210133123630849,-0.3210133123630849,2015
Fernando Marçal,1920,FRA-Ligue 1,Lyon,0.10804321728691475,0.009822543735066946,0.1482731494761887,Wolverhampton Wanderers,0.0,0.16829491680659442,-0.16829491680659442,2019
Ferrán Torres,1920,ESP-La Liga,Valencia,0.3558875219683656,0.15904461100340703,0.2001755478217386,Manchester City,0.6206896551724138,0.402430282964126,0.21825937220828784,2019
Florent Hadergjonaj,1617,GER-Bundesliga,Ingolstadt,0.12140287769784172,0.01149083510302543,0.07410740115086836,Huddersfield,0.05373134328358209,0.1310854604376798,-0.0773541171540977,2016
Florian Lejeune,1617,ESP-La Liga,Eibar,0.060626473560121255,0.0774413021061784,0.01716704414915902,Newcastle United,0.08559201141226819,0.18317885771543085,-0.09758684630316267,2016
Florian Thauvin,1415,FRA-Ligue 1,Marseille,0.310463779225757,0.24258917742314218,0.15857791268591934,Newcastle United,0.0,0.2490863286378313,-0.2490863286378313,2014
Florin Andone,1718,ESP-La Liga,Deportivo La Coruna,0.49723756906077343,0.5808421346816897,0.05690073491542379,Brighton,0.31358885017421606,0.1654225589857084,0.14816629118850766,2017
Floyd Ayité,1516,FRA-Ligue 1,SC Bastia,0.375996961640714,0.2129951728938697,0.06256931993022329,Fulham,0.2040816326530612,0.1501273009276872,0.053954331725374005,2015
Fode Toure,2223,ITA-Serie A,AC Milan,0.17543859649122806,0.24326682156115248,0.1143054598779009,Fulham,0.0,0.2523128679562658,-0.2523128679562658,2022
Franck Zambo,1718,FRA-Ligue 1,Marseille,0.0,0.04253122100921731,0.1271776294204594,Fulham,0.0,0.1501273009276872,-0.1501273009276872,2017
Franck Zambo,1920,ESP-La Liga,Villarreal,0.069713400464756,0.10269480178855492,0.021468645789877654,Fulham,0.104570100697134,0.1369087628683624,-0.0323386621712284,2019
Frederic Guilbert,1819,FRA-Ligue 1,Caen,0.09246575342465754,0.009168543549866914,0.08753381223315757,Aston Villa,0.08801955990220049,0.19203614798079638,-0.10401658807859589,2018
Gabriel,1415,ESP-La Liga,Villarreal,0.0,0.029561875014801762,0.02821810264198322,Arsenal,0.05110732538330494,0.3668051081007647,-0.3156977827174598,2014
Gabriel,1920,ITA-Serie A,Lecce,0.0,0.0,0.0,Arsenal,0.09027081243731194,0.2523936320888335,-0.16212281965152153,2019
Gabriel,2021,ESP-La Liga,Valencia,0.16568483063328424,0.03102842428610387,0.02014780239118414,Arsenal,0.07903981264637003,0.4334823396083863,-0.3544425269620163,2020
Gabriel,2223,ESP-La Liga,Valencia,0.05968169761273209,0.0718251828212953,0.018698207969809397,Arsenal,0.08852459016393444,0.4180607438687673,-0.32953615370483286,2022
Gareth Bale,1920,ESP-La Liga,Real Madrid,0.3275705186533212,0.3317250944572324,0.12814633919432883,Tottenham,1.2871287128712872,0.3576364892881825,0.9294922235831047,2019
Georges-Kévin Nkoudou,1516,FRA-Ligue 1,Marseille,0.3471552555448409,0.15100517279666956,0.12305082162355388,Tottenham,0.0,0.43882841740205336,-0.43882841740205336,2015
Gerard Deulofeu,1415,ESP-La Liga,Sevilla,0.6792452830188679,0.2703356160167253,0.24015351947186125,Everton,0.6479481641468683,0.276897770196174,0.3710503939506943,2014
Gerard Deulofeu,1617,ITA-Serie A,AC Milan,0.42944785276073616,0.2084457135525035,0.3975551563995016,Watford,0.20316027088036115,0.17907303370786515,0.024087237172496,2016
Gerard Deulofeu,1718,ESP-La Liga,Barcelona,0.35714285714285715,0.20420144179037641,0.31300142573724904,Watford,0.6398104265402844,0.2379903040987219,0.4018201224415625,2017
Gianluca Scamacca,2021,ITA-Serie A,Genoa,0.6691449814126395,0.4222758303372169,0.19171238349937597,West Ham,0.28723404255319146,0.1688197743018788,0.11841426825131265,2020
Giannelli Imbula,1415,FRA-Ligue 1,Marseille,0.11313639220615965,0.04656984635566126,0.07090992529570382,Stoke,0.14285714285714285,0.21316134674245737,-0.07030420388531453,2014
Giovani Lo Celso,2223,ESP-La Liga,Villarreal,0.3937007874015748,0.23916714854069115,0.27101225784327104,Tottenham,0.7725321888412017,0.37565070581062704,0.39688148303057463,2022
Giovanni Reyna,2223,GER-Bundesliga,Borussia Dortmund,1.3590604026845639,0.4951738143627276,0.21874268739265484,Nottingham Forest,0.4368932038834952,0.2865459838078777,0.15034722007561746,2022
Gonzalo Higuaín,1718,ITA-Serie A,Juventus,0.7043756670224119,0.3806550852087672,0.10314891784747102,Chelsea,0.4090909090909091,0.3900903367095538,0.01900057238135533,2017
Gonzalo Montiel,2223,ESP-La Liga,Sevilla,0.17857142857142858,0.065329261567621,0.15261788264892642,Nottingham Forest,0.22249690976514214,0.2865459838078777,-0.06404907404273558,2022
Gonçalo Guedes,2021,ESP-La Liga,Valencia,0.3896103896103896,0.11888836217778069,0.15671837383082934,Wolverhampton Wanderers,0.25069637883008355,0.12137768863683518,0.12931869019324838,2020
Granit Xhaka,1516,GER-Bundesliga,Borussia M.Gladbach,0.15202702702702703,0.06448309030265836,0.08886205211023775,Arsenal,0.14446227929373998,0.3653666977239452,-0.22090441843020522,2015
Grzegorz Krychowiak,1617,FRA-Ligue 1,Paris Saint Germain,0.0,0.06509005174176671,0.016593400722986658,West Bromwich Albion,0.10948905109489052,0.1628410260048959,-0.05335197491000537,2016
Guglielmo Vicario,2223,ITA-Serie A,Empoli,0.0,0.0,0.0,Tottenham,0.0,0.37565070581062704,-0.37565070581062704,2022
Guido Carrillo,1617,FRA-Ligue 1,Monaco,1.2765957446808511,0.9307437529787421,0.19635780011006493,Southampton,0.19867549668874174,0.19229894985679866,0.006376546831943081,2016
Gökhan Inler,1415,ITA-Serie A,Napoli,0.06593406593406594,0.03417547865883335,0.04570505370969301,Leicester,0.0,0.38566279535442527,-0.38566279535442527,2014
Hamed Junior Traore,2021,ITA-Serie A,Sassuolo,0.35274356103023513,0.22281236982041883,0.19589901543540456,Bournemouth,0.0,0.15967523680649526,-0.15967523680649526,2020
Hamed Junior Traore,2223,ITA-Serie A,Sassuolo,0.45918367346938777,0.13846784668537426,0.22807306838126815,Bournemouth,0.0,0.26250972258231786,-0.26250972258231786,2022
Han-Noah Massengo,2223,FRA-Ligue 1,Auxerre,0.0,0.06689945435830737,0.04145468865333665,Burnley,0.0,0.18817715263257934,-0.18817715263257934,2022
Henri Saivet,1415,FRA-Ligue 1,Bordeaux,0.0,0.1749022538795315,0.02676700720865925,Newcastle United,0.0,0.2490863286378313,-0.2490863286378313,2014
Henri Saivet,1617,FRA-Ligue 1,Saint-Etienne,0.15202702702702703,0.1480088059356235,0.12011423900509505,Newcastle United,1.0465116279069766,0.18317885771543085,0.8633327701915458,2016
Henrikh Mkhitaryan,1516,GER-Bundesliga,Borussia Dortmund,0.9076803723816912,0.4012981638647587,0.5544509180395917,Manchester United,0.33407572383073497,0.2630526412946497,0.07102308253608525,2015
Håvard Nordtveit,1516,GER-Bundesliga,Borussia M.Gladbach,0.1837484687627603,0.03665643373390955,0.04020326053240728,West Ham,0.09424083769633508,0.22743920304717255,-0.13319836535083746,2015
Håvard Nordtveit,1718,GER-Bundesliga,Hoffenheim,0.0,0.04007329845447132,0.005691776670406654,Fulham,0.24930747922437674,0.1501273009276872,0.09918017829668954,2017
Hélder Costa,1516,FRA-Ligue 1,Monaco,0.3472222222222222,0.211715322220698,0.1753369850727419,Wolverhampton Wanderers,0.20074349442379183,0.2792520617294031,-0.07850856730561126,2015
Ibrahim Amadou,1819,ESP-La Liga,Sevilla,0.0,0.04121134368898837,0.007715344674100998,Norwich,0.0,0.1360348364343038,-0.1360348364343038,2018
Ibrahim Sangare,1920,FRA-Ligue 1,Toulouse,0.04134129536058796,0.06869592062177518,0.049555306200949376,Nottingham Forest,0.0,0.2865459838078777,-0.2865459838078777,2019
Ibrahima Diallo,1920,FRA-Ligue 1,Brest,0.05758157389635316,0.004500593085578441,0.03944215159183958,Southampton,0.0,0.26058772687986176,-0.26058772687986176,2019
Ibrahima Konaté,2021,GER-Bundesliga,RasenBallsport Leipzig,0.12949640287769784,0.10319335297714892,0.0,Liverpool,0.0,0.3560603643556775,-0.3560603643556775,2020
Idrissa Gueye,1415,FRA-Ligue 1,Lille,0.19751280175566935,0.06522549653184637,0.04372909112922689,Aston Villa,0.029173419773095625,0.13166602807481975,-0.10249260830172413,2014
Idrissa Gueye,2021,FRA-Ligue 1,Paris Saint Germain,0.17088607594936708,0.05068858670471589,0.046507049375508404,Everton,0.03411675511751327,0.1528612490201202,-0.11874449390260691,2020
Ignacio Pussetto,1819,ITA-Serie A,Udinese,0.33012379642365886,0.2722364714166772,0.08974445367582973,Watford,0.0,0.14785695426408893,-0.14785695426408893,2018
Igor Julio,2223,ITA-Serie A,Fiorentina,0.0,0.016277797153798144,0.016548116714081487,Brighton,0.0,0.23581288343558282,-0.23581288343558282,2022
Ilkay Gündogan,1516,GER-Bundesliga,Borussia Dortmund,0.1801801801801802,0.17038943774595455,0.18455623216960612,Manchester City,0.502092050209205,0.3210133123630849,0.1810787378461201,2015
Ionut Radu,2223,ITA-Serie A,Cremonese,0.0,0.0,0.02172995648450321,Bournemouth,0.0,0.26250972258231786,-0.26250972258231786,2022
Isaac Mbenza,1718,FRA-Ligue 1,Montpellier,0.3444976076555024,0.32500184389749215,0.05141808938805424,Huddersfield,0.1882845188284519,0.08613050721298693,0.10215401161546497,2017
Isaac Success,1516,ESP-La Liga,Granada,0.29496108152396555,0.2623458680136313,0.12545981503556078,Watford,0.3887688984881209,0.18351577591757887,0.20525312257054204,2015
Isaac Success,1718,ESP-La Liga,Malaga,0.18072289156626506,0.07471500065581627,0.29598086533776247,Watford,0.1773399014778325,0.2379903040987219,-0.060650402620889415,2017
Islam Slimani,1920,FRA-Ligue 1,Monaco,1.1206225680933852,0.6298609180122265,0.2935112629535133,Leicester,0.0,0.3095599393019727,-0.3095599393019727,2019
Ismaila Sarr,1819,FRA-Ligue 1,Rennes,0.4485582057671769,0.16623504187324242,0.233966057159301,Watford,0.3974484789008832,0.14785695426408893,0.24959152463679427,2018
Issa Diop,1718,FRA-Ligue 1,Toulouse,0.08823529411764706,0.05570059935288394,0.01379894947304445,West Ham,0.030303030303030304,0.2535646796083147,-0.2232616493052844,2017
Issa Kabore,2223,FRA-Ligue 1,Marseille,0.08991008991008992,0.11145930488842291,0.08756363699277799,Luton,0.10297482837528604,0.23822451472784037,-0.13524968635255433,2022
Ivan Perisic,2021,ITA-Serie A,Inter,0.4002223457476376,0.2475235947180517,0.21072760425723383,Tottenham,0.3844328429046037,0.2896913911398481,0.09474145176475562,2020
Ivo Grbic,2223,ESP-La Liga,Atletico Madrid,0.0,0.0,0.0,Sheffield United,0.0,0.10514018691588785,-0.10514018691588785,2022
Iyenoma Destiny Udogie,2223,ITA-Serie A,Udinese,0.23110785033015407,0.115727188205039,0.10635792611198266,Tottenham,0.1846532622076323,0.37565070581062704,-0.19099744360299473,2022
Jadon Sancho,2021,GER-Bundesliga,Borussia Dortmund,0.8209313490158425,0.25909913718106653,0.35618280477739556,Manchester United,0.47368421052631576,0.25831771321462044,0.21536649731169533,2020
Jakub Kiwior,2223,ITA-Serie A,Spezia,0.0,0.040154696542246286,0.03737752056442017,Arsenal,0.3777544596012592,0.4180607438687673,-0.0403062842675081,2022
Jan Kirchhoff,1415,GER-Bundesliga,Schalke 04,0.0,0.09625907924215672,0.05440202102822772,Sunderland,0.0,0.1927733283665487,-0.1927733283665487,2014
Jannik Vestergaard,1718,GER-Bundesliga,Borussia M.Gladbach,0.09375,0.061363969260128215,0.021566380746662617,Southampton,0.0,0.22851045039740947,-0.22851045039740947,2017
Javier Manquillo,1516,FRA-Ligue 1,Marseille,0.03364485981308411,0.007969878547798804,0.05268214089082223,Sunderland,0.06324666198172874,0.1031452947917993,-0.03989863281007057,2015
Jean Michael Seri,1718,FRA-Ligue 1,Nice,0.2735562310030395,0.06375848225425465,0.14915050873263969,Fulham,0.1187335092348285,0.1501273009276872,-0.03139379169285869,2017
Jean-Philippe Gbamin,1819,GER-Bundesliga,Mainz 05,0.10093457943925234,0.04370301994277495,0.06545168529395189,Everton,0.0,0.19402852839549925,-0.19402852839549925,2018
Jean-Philippe Mateta,1920,GER-Bundesliga,Mainz 05,0.3389830508474576,0.4075478825528743,0.10869957632937673,Crystal Palace,0.4225352112676056,0.19802682944140818,0.22450838182619745,2019
Jean-Philippe Mateta,2021,GER-Bundesliga,Mainz 05,0.7142857142857143,0.683605708680781,0.12019475930303868,Crystal Palace,0.2510460251046025,0.2131380478740846,0.03790797723051789,2020
Jean-Ricner Bellegarde,2223,FRA-Ligue 1,Strasbourg,0.2947196070405239,0.08802567492382135,0.19690290064449148,Wolverhampton Wanderers,0.2878464818763326,0.24482109227871937,0.043025389597613234,2022
Jefferson Lerma,1718,ESP-La Liga,Levante,0.04201680672268907,0.04274614307904193,0.0650014791308957,Bournemouth,0.07123070834982193,0.2742334793372691,-0.20300277098744718,2017
Jeremie Boga,1617,ESP-La Liga,Granada,0.18646408839779005,0.134406111091221,0.056059017368381356,Chelsea,0.0,0.2718401486988848,-0.2718401486988848,2016
Jesús Gámez,1516,ESP-La Liga,Atletico Madrid,0.0,0.009252797770945969,0.02038260654822363,Newcastle United,0.0,0.18317885771543085,-0.18317885771543085,2015
Jetro Willems,1819,GER-Bundesliga,Eintracht Frankfurt,0.1274787535410765,0.025061251867362015,0.27603724013707964,Newcastle United,0.23984010659560295,0.18125747372395998,0.058582632871642976,2018
Joachim Andersen,1920,FRA-Ligue 1,Lyon,0.058785107772697576,0.06031730735417793,0.006846807371511091,Fulham,0.06588579795021962,0.1369087628683624,-0.07102296491814278,2019
Joe Hart,1617,ITA-Serie A,Torino,0.0,0.0,0.0004996749986377028,West Ham,0.05263157894736842,0.2332516774949409,-0.1806200985475725,2016
Joel Campbell,1415,ESP-La Liga,Villarreal,0.0741962077493817,0.1425813897670249,0.19361939755716012,Arsenal,0.5050505050505051,0.3668051081007647,0.13824539694974036,2014
Joel Matip,1516,GER-Bundesliga,Schalke 04,0.17647058823529413,0.09262052438605357,0.049392620649407894,Liverpool,0.036689767631471665,0.40330263575738334,-0.36661286812591165,2015
Joel Robles,2021,ESP-La Liga,Real Betis,0.0,0.0,0.0012100833571619444,Leeds,0.0,0.20178776882909993,-0.20178776882909993,2020
Joelinton,1819,GER-Bundesliga,Hoffenheim,0.5025593299208935,0.37405019420601704,0.21552621280768408,Newcastle United,0.1322556943423953,0.18125747372395998,-0.049001779381564664,2018
Jonas Lössl,1617,GER-Bundesliga,Mainz 05,0.0,0.0010133592618836297,0.003716162923309537,Huddersfield,0.02631578947368421,0.1310854604376798,-0.10476967096399559,2016
Jonjoe Kenny,1920,GER-Bundesliga,Schalke 04,0.16471449487554907,0.03838083905878301,0.03803134459175857,Everton,0.0,0.20810118119010476,-0.20810118119010476,2019
Jonny,1718,ESP-La Liga,Celta Vigo,0.08416458852867831,0.052895987243217375,0.0504032719213785,Wolverhampton Wanderers,0.06446991404011461,0.2792520617294031,-0.2147821476892885,2017
Jordan Amavi,1415,FRA-Ligue 1,Nice,0.11128284389489954,0.038127795316658955,0.09362409402899893,Aston Villa,0.21556886227544908,0.13166602807481975,0.08390283420062933,2014
Jordan Ayew,1415,FRA-Ligue 1,Lorient,0.5848623853211009,0.3299725699716956,0.11201678576597243,Aston Villa,0.267402376910017,0.13166602807481975,0.13573634883519725,2014
Jordan Veretout,1415,FRA-Ligue 1,Nantes,0.3635798632691113,0.056031329234317646,0.2003241518704537,Aston Villa,0.24576734025122882,0.13166602807481975,0.11410131217640906,2014
Jorginho,1718,ITA-Serie A,Napoli,0.20171834142697048,0.041528810034820875,0.1286816261959223,Chelsea,0.056621579112928595,0.3900903367095538,-0.3334687575966252,2017
Joselu,1415,GER-Bundesliga,Hannover 96,0.3996770286637061,0.31194984948967175,0.13109849501953139,Stoke,0.41977611940298504,0.21316134674245737,0.20661477266052766,2014
Joselu,1617,ESP-La Liga,Deportivo La Coruna,0.6108597285067873,0.2700534657094779,0.021555458208149914,Newcastle United,0.2601156069364162,0.18317885771543085,0.07693674922098537,2016
Josh Maja,1920,FRA-Ligue 1,Bordeaux,1.0241820768136558,0.44434423066919426,0.16242401137852652,Fulham,0.3337453646477132,0.1369087628683624,0.1968366017793508,2019
Josko Gvardiol,2223,GER-Bundesliga,RasenBallsport Leipzig,0.04153207198892478,0.07293410922422572,0.025588216485277704,Manchester City,0.19271948608137046,0.4097190421032783,-0.21699955602190785,2022
José Holebas,1415,ITA-Serie A,Roma,0.08763388510223953,0.023712624923599032,0.05580567080117653,Watford,0.0,0.15888300433317284,-0.15888300433317284,2014
José Ángel Crespo,1415,ESP-La Liga,Cordoba,0.0,0.01823112405544335,0.04968546243254688,Aston Villa,0.0,0.13166602807481975,-0.13166602807481975,2014
João Cancelo,1819,ITA-Serie A,Juventus,0.18283392585068564,0.08520174864726875,0.1811048224068887,Manchester City,0.0,0.4442637707250501,-0.4442637707250501,2018
João Félix,2021,ESP-La Liga,Atletico Madrid,0.693196405648267,0.2493334382973296,0.24324676027911238,Chelsea,0.3777544596012592,0.16481082198659067,0.21294363761466853,2020
João Moutinho,1718,FRA-Ligue 1,Monaco,0.22491967154587647,0.028460785914152614,0.16986820986444548,Wolverhampton Wanderers,0.26531280707500815,0.2792520617294031,-0.01393925465439494,2017
João Mário,1617,ITA-Serie A,Inter,0.3601800900450225,0.2167615644249873,0.20486364638215754,West Ham,0.26036644165863065,0.2332516774949409,0.027114764163689742,2016
João Pedro,1819,ITA-Serie A,Cagliari,0.3127413127413127,0.24254403640174496,0.11661051475878043,Watford,0.0,0.14785695426408893,-0.14785695426408893,2018
João Pedro,2021,ITA-Serie A,Cagliari,0.5224564619615032,0.26076498524201347,0.14563071542341813,Brighton,0.5330700888450147,0.23581288343558282,0.2972572054094319,2020
Juan Cuadrado,1415,ITA-Serie A,Fiorentina,0.49484536082474223,0.3741316539571457,0.13539465641622075,Chelsea,0.0,0.2633222656892074,-0.2633222656892074,2014
Juan Iturbe,1415,ITA-Serie A,Roma,0.1939655172413793,0.23086834578485838,0.08614216240700977,Bournemouth,0.0,0.2038092927332282,-0.2038092927332282,2014
Juanmi,1415,ESP-La Liga,Malaga,0.3202846975088968,0.2998019007591405,0.08972729044200793,Southampton,0.0,0.31126161827220983,-0.31126161827220983,2014
Justin Kluivert,2223,ESP-La Liga,Valencia,0.3716448726772195,0.3635263338067145,0.16946081609220973,Bournemouth,0.35485460818137016,0.26250972258231786,0.0923448855990523,2022
Jéremy Doku,2223,FRA-Ligue 1,Rennes,0.5638214565387627,0.20567269568435828,0.3136719760945185,Manchester City,0.6126237623762376,0.4097190421032783,0.2029047202729593,2022
