Name,Origin_Season,Origin_League,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,Finishing_Overperf,League_Quality_Score,Season_Control,PL_Raw_GA
Aaron Hickey,2021,ITA-Serie A,0.0,0.0045732924272123806,0.005498906213294119,-0.0100721986405065,0.9,2020,0.045965270684371805
Abdoulaye Doucouré,1516,FRA-Ligue 1,0.38338658146964855,0.1979144271939231,0.14449210498279658,0.040980049292928866,0.8,2015,0.06671608598962195
Adama Traoré,1920,FRA-Ligue 1,0.43186180422264875,0.11762172350170173,0.19663885797082578,0.11760122275012125,0.8,2019,0.13688212927756654
Ademola Lookman,1718,GER-Bundesliga,1.2435233160621761,0.44733912756405964,0.4369497328147369,0.3592344556833795,1.0,2017,0.31304347826086953
Adrián,1415,ESP-La Liga,0.047021943573667714,0.1031936878677119,0.03885527550123142,-0.09502701979527561,1.0,2014,0.0
Alexander Isak,2021,ESP-La Liga,0.6781079949769778,0.5923804424331995,0.0693747529806004,0.016352799563177922,1.0,2020,0.6470588235294118
Alexandre Lacazette,1617,FRA-Ligue 1,1.1548013245033113,0.4974197141289563,0.24803273119217414,0.4093488791821809,0.8,2016,0.7248322147651007
Alisson,1718,ITA-Serie A,0.0,0.0,0.00017244351171963784,-0.00017244351171963784,0.9,2017,0.0
Allan,1920,ITA-Serie A,0.2097902097902098,0.03997895834068735,0.07326063758635021,0.09655061386317224,0.9,2019,0.0
Allan Saint-Maximin,1819,FRA-Ligue 1,0.2766393442622951,0.1823233118563219,0.2042275587226585,-0.10991152631668533,0.8,2018,0.3322784810126582
Andreas Christensen,1617,GER-Bundesliga,0.06467840459935321,0.05289238363911341,0.014527461327882796,-0.002741440367642997,1.0,2016,0.0
Andreas Pereira,2021,ITA-Serie A,0.5443548387096774,0.13923797827784815,0.2390841800426584,0.16603268038917085,0.9,2020,0.325497287522604
André Ayew,1415,FRA-Ligue 1,0.45112781954887216,0.3606001557992365,0.12012294619659282,-0.02959528244695714,0.8,2014,0.4246713852376137
André Gomes,1718,ESP-La Liga,0.0,0.10729591654879707,0.02329831517168453,-0.1305942317204816,1.0,2017,0.08995502248875561
André Onana,2223,ITA-Serie A,0.0,0.0,0.0040817488916218255,-0.0040817488916218255,0.9,2022,0.0
André Schürrle,1718,GER-Bundesliga,0.3643724696356275,0.20776132880314163,0.2545364505426604,-0.09792530971017449,1.0,2017,0.32335329341317365
Angelo Ogbonna,1415,ITA-Serie A,0.0,0.04785257262695641,0.006065510908137468,-0.05391808353509388,0.9,2014,0.0
Anthony Martial,1415,FRA-Ligue 1,0.593732820230896,0.46135517705586204,0.11852374635206728,0.013853896822966671,0.8,2014,0.5129179331306991
Antonio Barragán,1516,ESP-La Liga,0.0,0.0,0.018561657155905305,-0.018561657155905305,1.0,2015,0.0
Antonio Rüdiger,1617,ITA-Serie A,0.08155867693701858,0.029552497727586287,0.03769245249774995,0.01431372671168235,0.9,2016,0.11553273427471118
Anwar El Ghazi,1718,FRA-Ligue 1,0.43902439024390244,0.23492088737306982,0.1689453250331032,0.0351581778377294,0.8,2017,0.345821325648415
Ashley Young,2021,ITA-Serie A,0.313588850174216,0.09567706953435617,0.13408279595474748,0.08382898468511235,0.9,2020,0.04403131115459882
Axel Disasi,2223,FRA-Ligue 1,0.1622108741363773,0.07157494357657544,0.029549869020785897,0.06108606153901597,0.8,2022,0.06960556844547564
Aymeric Laporte,1718,ESP-La Liga,0.05263157894736842,0.03191423671025979,0.05461742611307847,-0.033900083875969836,1.0,2017,0.17652827721477607
Bernardo,1718,GER-Bundesliga,0.1334321719792439,0.028463183778626017,0.043700817168819364,0.06126817103179852,1.0,2017,0.05172413793103449
Bernardo Silva,1617,FRA-Ligue 1,0.5408271474019088,0.18157963811845568,0.23568951203818664,0.1235579972452665,0.8,2016,0.6
Bernd Leno,1718,GER-Bundesliga,0.0,0.0,0.004845196889205413,-0.004845196889205413,1.0,2017,0.0
Bertrand Traoré,1920,FRA-Ligue 1,0.28753993610223644,0.26465400241124937,0.2189494613944865,-0.19606352770349944,0.8,2019,0.4953429297205758
Beto,2223,ITA-Serie A,0.4645706241201314,0.42630903060093056,0.12217800041152832,-0.08391640689232749,0.9,2022,0.30066815144766146
Boubacar Kamara,2021,FRA-Ligue 1,0.061707233459033256,0.020300294446605992,0.05446251122268823,-0.013055572210260963,0.8,2020,0.05027932960893854
Boubakary Soumare,2021,FRA-Ligue 1,0.047046523784631464,0.0065034286299661,0.029292469060411643,0.011250626094253723,0.8,2020,0.0
Bruno,1617,ESP-La Liga,0.21112600536193027,0.057468082444947055,0.04871878197451618,0.10493914094246704,1.0,2016,0.0
Bruno Guimarães,2021,FRA-Ligue 1,0.20454545454545453,0.09104337981923229,0.10069553979503161,0.012806534931190633,0.8,2020,0.29326574945691525
Callum Hudson-Odoi,2223,GER-Bundesliga,0.14754098360655737,0.023923460668960547,0.09181044702647162,0.03180707591112521,1.0,2022,0.43926247288503256
Carlos Baleba,2223,FRA-Ligue 1,0.0,0.07807410771594099,0.010067810749878054,-0.08814191846581905,0.8,2022,0.0
Casemiro,2021,ESP-La Liga,0.31013094417643,0.20748053573721506,0.0901175419165195,0.012532866522695418,1.0,2020,0.29619181946403383
Cheick Oumar Doucoure,2021,FRA-Ligue 1,0.1021566401816118,0.037353769130793385,0.038941657925436905,0.025861213125381505,0.8,2020,0.09557522123893805
Chicharito,1617,GER-Bundesliga,0.695364238410596,0.5094624242887197,0.13173833449327987,0.05416347962859647,1.0,2016,0.47244094488188976
Christian Eriksen,2021,ITA-Serie A,0.19271948608137046,0.07586935158156864,0.1534401918751461,-0.036590057375344265,0.9,2020,0.3868194842406877
Christian Fuchs,1415,GER-Bundesliga,0.31523642732049034,0.04157828163818803,0.20617911269180408,0.06747903299049823,1.0,2014,0.13303769401330376
Christian Pulisic,1819,GER-Bundesliga,0.7860262008733625,0.5067699839763636,0.29171379010587545,-0.012457573208876527,1.0,2018,0.6731875719217492
Claudio Bravo,1516,ESP-La Liga,0.0,0.0,0.0,0.0,1.0,2015,0.0
Clement Lenglet,2021,ESP-La Liga,0.036334275333064193,0.08734887122933452,0.028869500176941235,-0.07988409607321156,1.0,2020,0.08827856792545366
Cristhian Stuani,1415,ESP-La Liga,0.621046578493387,0.4410613286124179,0.0440597145369918,0.13592553534397722,1.0,2014,0.26296566837107377
Cristian Romero,2021,ITA-Serie A,0.14106583072100315,0.04788990878444574,0.029751619435029346,0.06342430250152806,0.9,2020,0.03802281368821293
Dango Ouattara,2223,FRA-Ligue 1,0.6346153846153847,0.34606730418566334,0.22938533922514093,0.05916274120458043,0.8,2022,0.22499999999999998
Dani Ceballos,1819,ESP-La Liga,0.21686746987951808,0.16173167504280445,0.09069085403917783,-0.035555059202464184,1.0,2018,0.10452961672473868
Danilo,1617,ITA-Serie A,0.08426966292134831,0.03244734874120756,0.007282893194325183,0.044539420985815564,0.9,2016,0.3363228699551569
Danilo,2223,ITA-Serie A,0.17013232514177695,0.07064225748075711,0.08166944968121546,0.017820617979804387,0.9,2022,0.2001111728738188
David Luiz,1516,FRA-Ligue 1,0.12943432406519656,0.060631933167562505,0.07526801307958016,-0.006465622181946101,0.8,2015,0.03041568097330179
Davide Zappacosta,1617,ITA-Serie A,0.23166023166023167,0.03287298464608239,0.1962230182666346,0.0025642287475146908,0.9,2016,0.16483516483516483
Dejan Kulusevski,2021,ITA-Serie A,0.32863849765258213,0.15654494504973362,0.29736842522878604,-0.1252748726259375,0.9,2020,0.3820754716981132
Dennis Praet,1819,ITA-Serie A,0.1549053356282272,0.07131569415471947,0.13683312989630306,-0.05324348842279533,0.9,2018,0.2402135231316726
Didier Ndong,1516,FRA-Ligue 1,0.08835078534031414,0.04711677007625825,0.030949044587451437,0.010284970676604457,0.8,2015,0.03572846367606193
Dimitri Payet,1415,FRA-Ligue 1,0.6736088512853888,0.11953026792134518,0.386140579269854,0.16793800409418969,0.8,2014,0.733695652173913
Diogo Dalot,2021,ITA-Serie A,0.16822429906542055,0.04293853688602135,0.08056245819082326,0.044723303988575935,0.9,2020,0.12476894639556377
Divock Origi,2223,ITA-Serie A,0.27522935779816515,0.3267334138444804,0.0939440853688695,-0.14544814141518475,0.9,2022,0.1615798922800718
Djibril Sidibe,1819,FRA-Ligue 1,0.0872093023255814,0.04210600659229554,0.1523763454264723,-0.10727304969318645,0.8,2018,0.19933554817275748
Dominik Szoboszlai,2223,GER-Bundesliga,0.4754164973587972,0.16184312660415112,0.33925872858445705,-0.025685357829810962,1.0,2022,0.2107728337236534
Douglas Luiz,1819,ESP-La Liga,0.0,0.06286421102104765,0.03605949060257637,-0.09892370162362402,1.0,2018,0.17294388931591084
Edinson Cavani,1920,FRA-Ligue 1,0.7588532883642496,1.3013247220853932,0.16588174346928652,-0.7083531771904301,0.8,2019,0.8634686346863468
Edouard Mendy,1920,FRA-Ligue 1,0.0,0.0,0.0,0.0,0.8,2019,0.0
Emerson,2021,ESP-La Liga,0.15010006671114076,0.041966447963927934,0.09562597994949219,0.012507638797720627,1.0,2020,0.15579919215233698
Emiliano Buendía,1516,ESP-La Liga,0.12328767123287672,0.12827258699969074,0.030912658225183617,-0.03589757399199765,1.0,2015,0.2924451665312754
Eric Bailly,1516,ESP-La Liga,0.0,0.009988966416760345,0.025558611731508085,-0.03554757814826843,1.0,2015,0.0
Eric Maxim Choupo-Moting,1617,GER-Bundesliga,0.3730017761989343,0.23869809246296148,0.19325821625720546,-0.05895453252123262,1.0,2016,0.39875941515285773
Erik Durm,1617,GER-Bundesliga,0.18480492813141683,0.06567493908191424,0.16800576857304547,-0.048875779523542884,1.0,2016,0.043923865300146414
Erik Pieters,1819,FRA-Ligue 1,0.14274385408406026,0.06924276670011191,0.04204650852654918,0.03145457885739916,0.8,2018,0.19148936170212766
Erling Haaland,2021,GER-Bundesliga,1.2293046357615893,0.7661685391039347,0.1503271031014572,0.3128089935561975,1.0,2020,1.4127720299678914
Estupiñán,2021,ESP-La Liga,0.0,0.037297990321725316,0.14190188227811018,-0.1791998725998355,1.0,2020,0.19948282231252307
Ezequiel Schelotto,1415,ITA-Serie A,0.0,0.1069151654609301,0.08000271509956108,-0.1869178805604912,0.9,2014,0.0
Fabian Schär,1718,ESP-La Liga,0.16208914903196758,0.13002927288017205,0.029636939592535355,0.0024229365592601804,1.0,2017,0.22421524663677128
Fabinho,1718,FRA-Ligue 1,0.29411764705882354,0.06265612565638388,0.12507361957036398,0.1063879018320757,0.8,2017,0.1345962113659023
Felipe Anderson,1718,ITA-Serie A,0.8691834942932397,0.2173976382670746,0.3466744292805444,0.30511142674562075,0.9,2017,0.38073543768304585
Ferrán Torres,1920,ESP-La Liga,0.3558875219683656,0.15904461100340703,0.2001755478217386,-0.0033326368567800357,1.0,2019,0.6206896551724138
Florent Hadergjonaj,1617,GER-Bundesliga,0.12140287769784172,0.01149083510302543,0.07410740115086836,0.03580464144394793,1.0,2016,0.05373134328358209
Florian Lejeune,1617,ESP-La Liga,0.060626473560121255,0.0774413021061784,0.01716704414915902,-0.03398187269521617,1.0,2016,0.08559201141226819
Florin Andone,1718,ESP-La Liga,0.49723756906077343,0.5808421346816897,0.05690073491542379,-0.14050530053634003,1.0,2017,0.31358885017421606
Franck Zambo,1718,FRA-Ligue 1,0.0,0.04253122100921731,0.1271776294204594,-0.1697088504296767,0.8,2017,0.0
Franck Zambo,1920,ESP-La Liga,0.069713400464756,0.10269480178855492,0.021468645789877654,-0.05445004711367657,1.0,2019,0.104570100697134
Frederic Guilbert,1819,FRA-Ligue 1,0.09246575342465754,0.009168543549866914,0.08753381223315757,-0.004236602358366939,0.8,2018,0.08801955990220049
Gabriel,1415,ESP-La Liga,0.0,0.029561875014801762,0.02821810264198322,-0.057779977656784984,1.0,2014,0.05110732538330494
Gabriel,1920,ITA-Serie A,0.0,0.0,0.0,0.0,0.9,2019,0.09027081243731194
Gabriel,2021,ESP-La Liga,0.16568483063328424,0.03102842428610387,0.02014780239118414,0.11450860395599623,1.0,2020,0.07903981264637003
Gabriel,2223,ESP-La Liga,0.05968169761273209,0.0718251828212953,0.018698207969809397,-0.030841693178372598,1.0,2022,0.08852459016393444
Gareth Bale,1920,ESP-La Liga,0.3275705186533212,0.3317250944572324,0.12814633919432883,-0.13230091499824004,1.0,2019,1.2871287128712872
Gerard Deulofeu,1415,ESP-La Liga,0.6792452830188679,0.2703356160167253,0.24015351947186125,0.16875614753028134,1.0,2014,0.6479481641468683
Gerard Deulofeu,1718,ESP-La Liga,0.35714285714285715,0.20420144179037641,0.31300142573724904,-0.1600600103847683,1.0,2017,0.6398104265402844
Giovani Lo Celso,2223,ESP-La Liga,0.3937007874015748,0.23916714854069115,0.27101225784327104,-0.11647861898238737,1.0,2022,0.7725321888412017
Granit Xhaka,1516,GER-Bundesliga,0.15202702702702703,0.06448309030265836,0.08886205211023775,-0.0013181153858690675,1.0,2015,0.14446227929373998
Grzegorz Krychowiak,1617,FRA-Ligue 1,0.0,0.06509005174176671,0.016593400722986658,-0.08168345246475336,0.8,2016,0.10948905109489052
Guglielmo Vicario,2223,ITA-Serie A,0.0,0.0,0.0,0.0,0.9,2022,0.0
Henrikh Mkhitaryan,1516,GER-Bundesliga,0.9076803723816912,0.4012981638647587,0.5544509180395917,-0.04806870952265918,1.0,2015,0.33407572383073497
Hélder Costa,1516,FRA-Ligue 1,0.3472222222222222,0.211715322220698,0.1753369850727419,-0.03983008507121766,0.8,2015,0.20074349442379183
Ibrahima Diallo,1920,FRA-Ligue 1,0.05758157389635316,0.004500593085578441,0.03944215159183958,0.013638829218935146,0.8,2019,0.0
Idrissa Gueye,1415,FRA-Ligue 1,0.19751280175566935,0.06522549653184637,0.04372909112922689,0.08855821409459609,0.8,2014,0.029173419773095625
Idrissa Gueye,2021,FRA-Ligue 1,0.17088607594936708,0.05068858670471589,0.046507049375508404,0.07369043986914278,0.8,2020,0.03411675511751327
Igor Julio,2223,ITA-Serie A,0.0,0.016277797153798144,0.016548116714081487,-0.03282591386787963,0.9,2022,0.0
Isaac Mbenza,1718,FRA-Ligue 1,0.3444976076555024,0.32500184389749215,0.05141808938805424,-0.03192232563004399,0.8,2017,0.1882845188284519
Isaac Success,1718,ESP-La Liga,0.18072289156626506,0.07471500065581627,0.29598086533776247,-0.18997297442731367,1.0,2017,0.1773399014778325
Ismaila Sarr,1819,FRA-Ligue 1,0.4485582057671769,0.16623504187324242,0.233966057159301,0.048357106734633504,0.8,2018,0.3974484789008832
Issa Diop,1718,FRA-Ligue 1,0.08823529411764706,0.05570059935288394,0.01379894947304445,0.018735745291718675,0.8,2017,0.030303030303030304
Issa Kabore,2223,FRA-Ligue 1,0.08991008991008992,0.11145930488842291,0.08756363699277799,-0.10911285197111098,0.8,2022,0.10297482837528604
Ivan Perisic,2021,ITA-Serie A,0.4002223457476376,0.2475235947180517,0.21072760425723383,-0.05802885322764795,0.9,2020,0.3844328429046037
Iyenoma Destiny Udogie,2223,ITA-Serie A,0.23110785033015407,0.115727188205039,0.10635792611198266,0.009022736013132415,0.9,2022,0.1846532622076323
Jadon Sancho,2021,GER-Bundesliga,0.8209313490158425,0.25909913718106653,0.35618280477739556,0.20564940705738044,1.0,2020,0.47368421052631576
Jakub Kiwior,2223,ITA-Serie A,0.0,0.040154696542246286,0.03737752056442017,-0.07753221710666645,0.9,2022,0.3777544596012592
Jannik Vestergaard,1718,GER-Bundesliga,0.09375,0.061363969260128215,0.021566380746662617,0.010819649993209168,1.0,2017,0.0
Javier Manquillo,1516,FRA-Ligue 1,0.03364485981308411,0.007969878547798804,0.05268214089082223,-0.027007159625536924,0.8,2015,0.06324666198172874
Jean Michael Seri,1718,FRA-Ligue 1,0.2735562310030395,0.06375848225425465,0.14915050873263969,0.06064724001614516,0.8,2017,0.1187335092348285
Jean-Philippe Mateta,2021,GER-Bundesliga,0.7142857142857143,0.683605708680781,0.12019475930303868,-0.08951475369810535,1.0,2020,0.2510460251046025
Jean-Ricner Bellegarde,2223,FRA-Ligue 1,0.2947196070405239,0.08802567492382135,0.19690290064449148,0.009791031472211054,0.8,2022,0.2878464818763326
Jefferson Lerma,1718,ESP-La Liga,0.04201680672268907,0.04274614307904193,0.0650014791308957,-0.06573081548724857,1.0,2017,0.07123070834982193
Joachim Andersen,1920,FRA-Ligue 1,0.058785107772697576,0.06031730735417793,0.006846807371511091,-0.008379006952991444,0.8,2019,0.06588579795021962
Joel Matip,1516,GER-Bundesliga,0.17647058823529413,0.09262052438605357,0.049392620649407894,0.034457443199832655,1.0,2015,0.036689767631471665
Joelinton,1819,GER-Bundesliga,0.5025593299208935,0.37405019420601704,0.21552621280768408,-0.0870170770928076,1.0,2018,0.1322556943423953
Jonas Lössl,1617,GER-Bundesliga,0.0,0.0010133592618836297,0.003716162923309537,-0.004729522185193167,1.0,2016,0.02631578947368421
Jonny,1718,ESP-La Liga,0.08416458852867831,0.052895987243217375,0.0504032719213785,-0.01913467063591756,1.0,2017,0.06446991404011461
Jordan Ayew,1415,FRA-Ligue 1,0.5848623853211009,0.3299725699716956,0.11201678576597243,0.14287302958343284,0.8,2014,0.267402376910017
Jordan Veretout,1415,FRA-Ligue 1,0.3635798632691113,0.056031329234317646,0.2003241518704537,0.10722438216433994,0.8,2014,0.24576734025122882
Jorginho,1718,ITA-Serie A,0.20171834142697048,0.041528810034820875,0.1286816261959223,0.031507905196227315,0.9,2017,0.056621579112928595
Joselu,1415,GER-Bundesliga,0.3996770286637061,0.31194984948967175,0.13109849501953139,-0.04337131584549708,1.0,2014,0.41977611940298504
Joselu,1617,ESP-La Liga,0.6108597285067873,0.2700534657094779,0.021555458208149914,0.31925080458915944,1.0,2016,0.2601156069364162
Josko Gvardiol,2223,GER-Bundesliga,0.04153207198892478,0.07293410922422572,0.025588216485277704,-0.05699025372057864,1.0,2022,0.19271948608137046
João Moutinho,1718,FRA-Ligue 1,0.22491967154587647,0.028460785914152614,0.16986820986444548,0.026590675767278388,0.8,2017,0.26531280707500815
João Pedro,2021,ITA-Serie A,0.5224564619615032,0.26076498524201347,0.14563071542341813,0.11606076129607157,0.9,2020,0.5330700888450147
Justin Kluivert,2223,ESP-La Liga,0.3716448726772195,0.3635263338067145,0.16946081609220973,-0.16134227722170474,1.0,2022,0.35485460818137016
Jéremy Doku,2223,FRA-Ligue 1,0.5638214565387627,0.20567269568435828,0.3136719760945185,0.04447678475988592,0.8,2022,0.6126237623762376
Kai Havertz,1920,GER-Bundesliga,0.6566680178354276,0.33933772132054335,0.30221357314957265,0.015116723365311557,1.0,2019,0.41365725541694026
Kalidou Koulibaly,2021,ITA-Serie A,0.0,0.039793239909798495,0.012095235195516137,-0.051888475105314635,0.9,2020,0.14925373134328357
