Name,Origin_Season,Origin_League,Pre_PL_G_A,Pre_PL_npxG,Pre_PL_xA,Finishing_Overperf,League_Quality_Score,Season_Control,PL_Raw_GA
Kenny Tete,1920,FRA-Ligue 1,0.08530805687203792,0.051276498028381745,0.12560001367005694,-0.09156845482640076,0.8,2019,0.060687795010114634
Kepa,1718,ESP-La Liga,0.0,0.0,0.008589633305867513,-0.008589633305867513,1.0,2017,0.0
Kevin De Bruyne,1415,GER-Bundesliga,0.8846657929226737,0.22777397670755029,0.4219545848633445,0.2349372313517789,1.0,2014,0.7178464606181456
Kieran Trippier,2021,ESP-La Liga,0.21782977006857604,0.004731287879958753,0.1423503521690089,0.07074813001960839,1.0,2020,0.21377672209026127
Kiko Femenía,1617,ESP-La Liga,0.07197121151539385,0.008069660554810171,0.08891507789570062,-0.02501352693511695,1.0,2016,0.10452961672473868
Lamine Koné,1516,FRA-Ligue 1,0.0,0.0564038468584899,0.0019498529333260744,-0.05835369979181597,0.8,2015,0.03537735849056604
Leon Bailey,2021,GER-Bundesliga,0.7112970711297072,0.2728242701441673,0.2656560710720936,0.17281672991344632,1.0,2020,0.35450516986706054
Leroy Sané,1516,GER-Bundesliga,0.5442764578833693,0.2563323109827083,0.18768367777954684,0.10026046912111419,1.0,2015,0.4015616285554936
Lucas Digne,1718,ESP-La Liga,0.25641025641025644,0.041670975490258284,0.2248430147002905,-0.010103733780292334,1.0,2017,0.24258760107816715
Lucas Paquetá,2021,FRA-Ligue 1,0.547112462006079,0.29610689812757585,0.250394564773847,0.0006109991046561181,0.8,2020,0.28519692168401994
Lucas Torreira,1718,ITA-Serie A,0.14097744360902256,0.03954247380711866,0.06737745120155071,0.03405751860035319,0.9,2017,0.1521555367709214
Luciano Vietto,1718,ESP-La Liga,0.34177215189873417,0.1968307701187043,0.18223891350664667,-0.03729753172661682,1.0,2017,0.4615384615384615
Lyanco,2021,ITA-Serie A,0.0,0.07014749748746703,0.016573895924289,-0.08672139341175603,0.9,2020,0.15517241379310345
Malo Gusto,2223,FRA-Ligue 1,0.055693069306930694,0.03439488063455735,0.1664777766996165,-0.14517958802724315,0.8,2022,0.3078677309007982
Manolo Gabbiadini,1617,ITA-Serie A,0.5252918287937743,0.4798208474967962,0.008803442943159934,0.036667538353818196,0.9,2016,0.42613636363636365
Manuel Akanji,2021,GER-Bundesliga,0.07659574468085106,0.07568954338735721,0.007963012388729034,-0.007056811095235177,1.0,2020,0.03961267605633803
Marc Cucurella,2021,ESP-La Liga,0.1382488479262673,0.06094657277799972,0.09957876485613634,-0.022276489707868774,1.0,2020,0.1070154577883472
Marcos Alonso,1516,ITA-Serie A,0.26888604353393086,0.1334893843457198,0.16120309695820878,-0.025806437769997692,0.9,2015,0.3004451038575668
Mario Lemina,1617,ITA-Serie A,0.2027027027027027,0.24815110414213423,0.08618623181875493,-0.13163463325818647,0.9,2016,0.10434782608695652
Mario Lemina,2223,FRA-Ligue 1,0.0,0.021645683690766308,0.007339689399716307,-0.028985373090482616,0.8,2022,0.14990006662225183
Mario Vrancic,1617,GER-Bundesliga,0.3499675955930006,0.10012983644474116,0.2395103917513296,0.010327367396929854,1.0,2016,0.1468189233278956
Mark Flekken,2223,GER-Bundesliga,0.0,0.0,0.01665806244401371,-0.01665806244401371,1.0,2022,0.027330701488004858
Marten de Roon,1516,ITA-Serie A,0.0870125684821141,0.018863495318636257,0.03486472035209249,0.03328435281138535,0.9,2015,0.12954300107952502
Martín Montoya,1718,ESP-La Liga,0.16728624535315986,0.010432381289803377,0.08314508580356893,0.07370877825978756,1.0,2017,0.04157043879907621
Mateo Kovacic,1718,ESP-La Liga,0.09164969450101833,0.031696368623411096,0.06141543237572107,-0.0014621064981138326,1.0,2017,0.10250569476082004
Matheus Pereira,1920,FRA-Ligue 1,0.0,0.1296349116959251,0.08805617134874828,-0.21769108304467338,0.8,2019,0.5898226676946801
Matteo Darmian,1415,ITA-Serie A,0.1048951048951049,0.07716110210631277,0.11704064205523346,-0.08930663926644133,0.9,2014,0.04646360351058337
Max Meyer,1718,GER-Bundesliga,0.0,0.010086267312550558,0.017253843587600955,-0.027340110900151513,1.0,2017,0.19244476122594442
Maxime Le Marchand,1718,FRA-Ligue 1,0.10642491131257391,0.015867386610901726,0.025334199817075145,0.06522332488459703,0.8,2017,0.039982230119946685
Micah Richards,1415,ITA-Serie A,0.0,0.018682101037987356,0.016988409841631316,-0.03567051087961867,0.9,2014,0.08784773060029283
Michy Batshuayi,1516,FRA-Ligue 1,0.7956477388643318,0.5219303367964085,0.10280969905781324,0.17090770301011005,0.8,2015,2.443438914027149
Micky van de Ven,2223,GER-Bundesliga,0.06060606060606061,0.04005971576341174,0.049361386985489815,-0.028815042142840946,1.0,2022,0.11513859275053304
Miguel Britos,1415,ITA-Serie A,0.06020066889632107,0.06348877563997854,0.014998857866362186,-0.01828696461001965,0.9,2014,0.0
Mikkel Damsgaard,2021,ITA-Serie A,0.30456852791878175,0.16973789370037276,0.10768029068213732,0.02715034353627166,0.9,2020,0.0
Mohamed Salah,1617,ITA-Serie A,0.9367493995196157,0.483205042096426,0.34708815230857476,0.10645620511461495,0.9,2016,1.2796208530805686
Moise Kean,1819,ITA-Serie A,1.0246679316888045,0.6509370276213146,0.06796040029690885,0.3057705037705811,0.9,2018,0.4597701149425288
Moussa Diaby,2223,GER-Bundesliga,0.5592105263157895,0.3117200988344848,0.2810041026187767,-0.03351367513747194,1.0,2022,0.5642633228840126
N'Golo Kanté,1415,FRA-Ligue 1,0.19780219780219782,0.045053761060608426,0.07051169346825015,0.08223674327333924,0.8,2014,0.14945200929923613
Naby Keita,1718,GER-Bundesliga,0.5025380710659898,0.15172897226314255,0.19023991222044234,0.16056918658240493,1.0,2017,0.19189765458422176
Nampalys Mendy,1718,FRA-Ligue 1,0.09307135470527406,0.00218070839313094,0.004862215131089752,0.08602843118105337,0.8,2017,0.0
Naouirou Ahamada,2223,GER-Bundesliga,0.25245441795231416,0.03874530896889294,0.06994907438577391,0.1437600345976473,1.0,2022,0.0
Neal Maupay,1516,FRA-Ligue 1,0.5283757338551859,0.1614947472890354,0.2286002834358502,0.13828070313030028,0.8,2015,0.4205607476635514
Neto,2021,ESP-La Liga,0.0,0.0,0.0,0.0,1.0,2020,0.0
Nicolas Jackson,2223,ESP-La Liga,0.8905380333951763,0.476597675600941,0.2305967904323218,0.18334356736191348,1.0,2022,0.6068133427963095
Nicolas Pepe,1819,FRA-Ligue 1,0.8910891089108911,0.3680846572817579,0.28024346581941034,0.24276098580972294,0.8,2018,0.44532409698169223
Nicolo Zaniolo,2223,ITA-Serie A,0.09933774834437087,0.40060083468179436,0.0889690617555814,-0.3902321480930049,0.9,2022,0.21951219512195122
Nicolás Domínguez,2223,ITA-Serie A,0.19421665947345707,0.0820261986992922,0.1347121923846781,-0.02252173161051324,0.9,2022,0.23331173039533376
Nicolás Otamendi,1415,ESP-La Liga,0.17408123791102514,0.09027525391681858,0.002356447780241817,0.08144953621396475,1.0,2014,0.03367003367003367
Nordin Amrabat,1516,ESP-La Liga,0.08832188420019627,0.11708520617888064,0.22814273326068213,-0.2569060552393665,1.0,2015,0.12735849056603774
Nyom,1415,ESP-La Liga,0.030100334448160536,0.021623831099042527,0.052864486722269385,-0.04438798337315137,1.0,2014,0.03624647603705195
Nélson Semedo,1920,ESP-La Liga,0.12875536480686695,0.02895627434609274,0.09711853720151815,0.0026805532592560632,1.0,2019,0.06012024048096193
Odsonne Edouard,1617,FRA-Ligue 1,0.1624548736462094,0.25493487507266255,0.031767578842622705,-0.12424758026907587,0.8,2016,0.34634414513468936
Ola Aina,1920,ITA-Serie A,0.08678881388621022,0.01757850178958365,0.09798935714663658,-0.02877904505001,0.9,2019,0.10063361908311592
Ola Aina,2223,ITA-Serie A,0.20761245674740486,0.08467085156783101,0.2153964527595827,-0.09245484758000883,0.9,2022,0.10404624277456648
Oliver Burke,1920,ESP-La Liga,0.12875536480686695,0.1701762170287033,0.08429212635582864,-0.125712978577665,1.0,2019,0.14150943396226415
Orel Mangala,2021,GER-Bundesliga,0.17061611374407584,0.049494454566548225,0.07426559816057225,0.04685606101695536,1.0,2020,0.11385199240986718
Oriol Romeu,1415,GER-Bundesliga,0.0,0.019708517933839806,0.007456272100654814,-0.02716479003449462,1.0,2014,0.05632040050062578
Pablo Fornals,1819,ESP-La Liga,0.18101367658889783,0.1417884220648632,0.19569099748886262,-0.15646574296482801,1.0,2018,0.28767123287671237
Pape Souaré,1415,FRA-Ligue 1,0.0,0.005187269393549079,0.023742807107454546,-0.028930076501003626,0.8,2014,0.02983095790520384
Pascal Groß,1617,GER-Bundesliga,0.29626920263350404,0.1120159607421506,0.2537136681135349,-0.06946042622218146,1.0,2016,0.45317220543806647
Pau Torres,2223,ESP-La Liga,0.029459901800327332,0.06241224370226142,0.0334554412897597,-0.06640778319169378,1.0,2022,0.0729631130928253
Paul Pogba,1516,ITA-Serie A,0.5966191581040768,0.21838765217866135,0.21181699693607975,0.16641450898933574,0.9,2015,0.3108211818879509
Pedro,1415,ESP-La Liga,0.7091267235718977,0.46129551777910893,0.38020144047329324,-0.13237023468050446,1.0,2014,0.39301310043668125
Pedro Obiang,1415,ITA-Serie A,0.12987012987012986,0.12766595497461303,0.08724551324357653,-0.08504133834805971,0.9,2014,0.08419083255378858
Philippe Coutinho,2021,ESP-La Liga,0.5397301349325337,0.5788570796062742,0.09172825435961204,-0.13085519903335252,1.0,2020,0.12
Pierre-Emerick Aubameyang,1718,GER-Bundesliga,1.0133708655876144,0.8627988850562862,0.16202206726669005,-0.011450086735361964,1.0,2017,0.8868613138686132
Pierre-Emile Højbjerg,1516,GER-Bundesliga,0.07075471698113207,0.08156866803853158,0.017357037516908265,-0.028170988574307762,1.0,2015,0.0
Ragnar Klavan,1516,GER-Bundesliga,0.0,0.021278935417420642,0.01342553563167384,-0.03470447104909448,1.0,2015,0.0
Raphael Varane,2021,ESP-La Liga,0.06622516556291391,0.09033231329888303,0.005641596727936669,-0.029748744463905782,1.0,2020,0.0
Raphinha,1920,FRA-Ligue 1,0.42303172737955347,0.24272704219005642,0.25056870121806507,-0.07026401602856802,0.8,2019,0.5698607007176023
Rasmus Højlund,2223,ITA-Serie A,0.5362946912242686,0.5015571605321322,0.09266282506448541,-0.057925294372348946,0.9,2022,0.48868778280542985
Rayan Ait Nouri,1920,FRA-Ligue 1,0.13921113689095127,0.016549517705241375,0.044640423470714806,0.07802119571499509,0.8,2019,0.1272984441301273
Raúl Jiménez,1415,ESP-La Liga,0.48387096774193544,0.44164468233864146,0.3392082176381542,-0.2969819322348602,1.0,2014,0.5727012408526885
Remo Freuler,2021,ITA-Serie A,0.16507703595011006,0.06638662487826012,0.13052671730944715,-0.03183630623759723,0.9,2020,0.0
Renan Lodi,2021,ESP-La Liga,0.24324324324324323,0.05851713245784914,0.15258767923994643,0.032138431545447654,1.0,2020,0.04025044722719141
Ricardo Pereira,1617,FRA-Ligue 1,0.26226323457989315,0.06549396673819,0.15028763833831618,0.04648162950338697,0.8,2016,0.23010546500479387
Roberto Firmino,1415,GER-Bundesliga,0.5237932214994865,0.2810648824631892,0.27729805408747726,-0.034569715051180006,1.0,2014,0.7630922693266833
Rodri,1819,ESP-La Liga,0.1309090909090909,0.09181762338361957,0.04832843204790895,-0.009236964522437635,1.0,2018,0.18086816720257234
Rodrigo,1920,ESP-La Liga,0.5177824267782427,0.3403709795536419,0.2729509578857992,-0.09553951066119837,1.0,2019,0.6303501945525292
Romain Perraud,2021,FRA-Ligue 1,0.2866242038216561,0.07776569502701046,0.08966430207228016,0.11919420672236547,0.8,2020,0.19543973941368079
Ross Barkley,2223,FRA-Ligue 1,0.5934065934065934,0.4550794312771369,0.24903501527240643,-0.11070785314294995,0.8,2022,0.3083365055196041
Ryan Gravenberch,2223,GER-Bundesliga,0.0,0.13239224234585292,0.06223273539537496,-0.1946249777412279,1.0,2022,0.08064516129032258
Sasa Lukic,2223,ITA-Serie A,0.1507537688442211,0.08970948844099763,0.10095774233528416,-0.03991346193206069,0.9,2022,0.08130081300813008
Sead Kolasinac,1617,GER-Bundesliga,0.3474903474903475,0.1046629945979486,0.12349299577686892,0.11933435711552998,1.0,2016,0.25069637883008355
Sebastian Prödl,1415,GER-Bundesliga,0.2067777139574957,0.11622291571839934,0.05926436259443906,0.031290435644657305,1.0,2014,0.10146561443066515
Sergio Reguilón,1920,ESP-La Liga,0.2151394422310757,0.08820638672051677,0.14684525422336334,-0.01991219871280439,1.0,2019,0.1195748449955713
Sergio Rico,1718,ESP-La Liga,0.0,0.0,0.0,0.0,1.0,2017,0.0
Shinji Okazaki,1415,GER-Bundesliga,0.48439181916038754,0.3175254497352278,0.10571026985119504,0.06115609957396473,1.0,2014,0.21377672209026127
Shkodran Mustafi,1516,ESP-La Liga,0.06711409395973154,0.05160039222030432,0.04013527528501597,-0.024621573545588735,1.0,2015,0.158311345646438
Sofiane Boufal,1516,FRA-Ligue 1,0.5742237345810293,0.12651871339988827,0.3189187098384816,0.1287863113426594,0.8,2015,0.08256880733944955
Sofiane Boufal,1819,ESP-La Liga,0.2554399243140965,0.14947665331915175,0.154379251718789,-0.04841598072384423,1.0,2018,0.24128686327077745
Sofiane Feghouli,1516,ESP-La Liga,0.14365522745411013,0.20240965289645735,0.21685364291202708,-0.2756080683543743,1.0,2015,0.5222437137330754
Sofyan Amrabat,2223,ITA-Serie A,0.044642857142857144,0.017816472557439865,0.03613007737190596,-0.009303692786488682,0.9,2022,0.0
Sokratis,1718,GER-Bundesliga,0.07575757575757576,0.044765932570126926,0.00836031066931107,0.022631332518137766,1.0,2017,0.12283894449499545
Son Heung-Min,1415,GER-Bundesliga,0.5075921908893709,0.20835966215248738,0.10675964868928502,0.1924728800475985,1.0,2014,0.4054054054054054
Steve Mounie,1617,FRA-Ligue 1,0.5389221556886228,0.36851518466286604,0.0913909016824621,0.07901606934329464,0.8,2016,0.38918918918918916
Sven Botman,2021,FRA-Ligue 1,0.0,0.021920754270174106,0.006850995188081094,-0.0287717494582552,0.8,2020,0.0
Sébastien Haller,1819,GER-Bundesliga,0.9926470588235294,0.4723984111264786,0.30465346425497797,0.21559518344207285,1.0,2018,0.3202846975088968
Taiwo Awoniyi,2021,GER-Bundesliga,0.4578488372093023,0.4260919239848505,0.0830012709470899,-0.05124435772263808,1.0,2020,0.6942496493688639
Takehiro Tomiyasu,2021,ITA-Serie A,0.0661521499448732,0.07560152997896322,0.014232555558327932,-0.02368193559241795,0.9,2020,0.14240506329113925
Tanguy NDombele Alvaro,1819,FRA-Ligue 1,0.2674591381872214,0.06401750525144133,0.12447960532919392,0.07896202760658616,0.8,2018,0.3592814371257485
Thiago Alcántara,1920,GER-Bundesliga,0.15228426395939088,0.1311088757126162,0.05568271285386255,-0.034507324607087886,1.0,2019,0.0482573726541555
Thiago Silva,1920,FRA-Ligue 1,0.0,0.012642043404290532,0.0,-0.012642043404290532,0.8,2019,0.09287925696594426
Thilo Kehrer,2021,FRA-Ligue 1,0.0,0.0225423665221081,0.03238631633162053,-0.05492868285372863,0.8,2020,0.0807899461400359
Thomas Partey,1920,ESP-La Liga,0.10613207547169812,0.06940247762271749,0.03693991222084975,-0.00021031437186912194,1.0,2019,0.11665586519766688
Tiemoué Bakayoko,1617,FRA-Ligue 1,0.12162162162162161,0.07954895345343126,0.04206499480013106,7.673368059304964e-06,0.8,2016,0.16997167138810196
Timo Werner,1920,GER-Bundesliga,1.1469026548672567,0.6746094274046147,0.3082609669165274,0.16403226054611464,1.0,2019,0.48368522072936665
Timothy Castagne,1920,ITA-Serie A,0.1532349602724177,0.10092127228855542,0.1363041392283326,-0.08399045124447033,0.9,2019,0.19157088122605362
Trevoh Chalobah,2021,FRA-Ligue 1,0.16078606520768202,0.09448310138192652,0.02999762788601303,0.03630533593974247,0.8,2020,0.0
Tyler Adams,2021,GER-Bundesliga,0.09719222462203023,0.06735254976230616,0.04312093503427235,-0.013281260174548282,1.0,2020,0.0
Valon Behrami,1415,GER-Bundesliga,0.0,0.018423018476125777,0.011344848210405432,-0.02976786668653121,1.0,2014,0.07009345794392523
Vicente Guaita,1718,ESP-La Liga,0.0,0.0,0.004459151715943306,-0.004459151715943306,1.0,2017,0.0
Vinicius Souza,2223,ESP-La Liga,0.07404360345536816,0.03413064152091214,0.017942085330413228,0.02197087660404279,1.0,2022,0.033632286995515695
Víctor Camarasa,1718,ESP-La Liga,0.07182761372705507,0.10233163840307631,0.09166428992481633,-0.12216831460083757,1.0,2017,0.3108211818879509
Wahbi Khazri,1516,FRA-Ligue 1,0.6712243629583593,0.25543828598455737,0.2712565863527001,0.14452949062110176,0.8,2015,0.1092233009708738
Wataru Endo,2223,GER-Bundesliga,0.27654489586889724,0.15866291356301931,0.13636375276626844,-0.018481770460390512,1.0,2022,0.05238649592549476
Wesley Fofana,1920,FRA-Ligue 1,0.0741962077493817,0.06123671300481983,0.0026765093898365342,0.010282985354725327,0.8,2019,0.0
Wesley Hoedt,1617,ITA-Serie A,0.09574468085106383,0.061005068819058386,0.006984560017256026,0.027755052014749412,0.9,2016,0.03571428571428571
William Saliba,2021,FRA-Ligue 1,0.05,0.03870440078899264,0.00199285503476858,0.009302744176238782,0.8,2020,0.11166253101736973
Wilson Odobert,2223,FRA-Ligue 1,0.3078677309007982,0.15076316619119867,0.09198938869683236,0.06511517601276717,0.8,2022,0.20930232558139533
Wout Faes,2021,FRA-Ligue 1,0.031002411298656565,0.04795128944298799,0.0016187971038856123,-0.018567675248217036,0.8,2020,0.0967741935483871
Xherdan Shaqiri,1415,ITA-Serie A,0.36535859269282817,0.09677405271260762,0.26699176196800356,0.0015927780122169666,0.9,2014,0.3909266409266409
Yoane Wissa,2021,FRA-Ligue 1,0.46787968808020797,0.31993070162896364,0.11948795737736714,0.028461029073877153,0.8,2020,0.5685407454200885
Yohan Cabaye,1415,FRA-Ligue 1,0.18652849740932645,0.10024207677943102,0.10247850604355337,-0.016192085413657936,0.8,2014,0.19794721407624635
Youri Tielemans,1819,FRA-Ligue 1,0.32028469750889677,0.0979868373154162,0.10826177437693622,0.11403608581654434,0.8,2018,0.2843102843102843
Yves Bissouma,1718,FRA-Ligue 1,0.17352185089974295,0.11872481329696957,0.0437334416898633,0.01106359591291009,0.8,2017,0.0
Zlatan Ibrahimovic,1516,FRA-Ligue 1,1.7978848413631021,0.8392147064103923,0.32073730489044294,0.6379328300622669,0.8,2015,0.813141683778234
Álex Moreno,2223,ESP-La Liga,0.2,0.10262445223828157,0.11517178391416866,-0.017796236152450212,1.0,2022,0.17424975798644723
Álvaro Morata,1617,ESP-La Liga,1.2895927601809956,0.6460042246006329,0.2604252364638165,0.3831632991165461,1.0,2016,0.7394876752054133
Álvaro Negredo,1516,ESP-La Liga,0.5502183406113538,0.5308376723640156,0.24091401670176912,-0.22153334845443096,1.0,2015,0.40470425458318926
